site_ID,source,overlap,estimate_Ts,year_removed,NEE,FC,TA,TS,TS_more,SWC,SWC_more,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use
US-NR1,AmeriFlux_FLUXNET,,NO,"1998:2001, 2003, 2012",FC_1_1_1 + SC_PI_F_1_1_1,,TA_1_1_1,TS_1_1_1,TS_PI_1,SWC_1_1_1,SWC_PI_1,SW_IN_PI_F_1_1_1,USTAR_PI_F_1_1_1,RH_PI_F_1_1_1,,more TS data added; more SWC data used,,,YES
US-WCr,AmeriFlux_BASE,,NO,"1998:1999, 2001, 2004, 2007:2010, 2018, 2021:2023",FC_1_1_1 + SC_PI_F_1_1_1,FC_1_1_1,TA_1_1_1,TS_PI_F_1_1_1,,SWC_1_2_1,,SW_IN,USTAR_PI_F_1_1_1,,VPD_PI_1_1_1,,,,YES
US-UMB,AmeriFlux_FLUXNET,,NO,"2016:2018, 2022:2023",NEE_PI,FC,TA,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH,,,,,YES
US-MMS,AmeriFlux_FLUXNET,,NO,"2018, 2023",FC_1_1_1,FC_1_1_1,TA_1_1_1,TS_2_1_1,,SWC_PI_1,,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,YES
US-PFa,AmeriFlux_BASE,,YES,"1995:1996, 1998, 2000:2005, 2010, 2013, 2015:2016, 2022:2023",FC_1_1_1 + SC_1_1_1,,TA_PI_F_1_3_1,TS_1_1_1,,SWC_1_1_1,,PPFD_IN_1_1_1,USTAR_PI_F_1_3_1,,VPD_PI_F_1_3_1,,,,NO
US-Syv,AmeriFlux_FLUXNET,,NO,"2001, 2005, 2007:2013, 2019, 2021:2023",NEE_PI,FC_1_1_1,TA_1_1_1,TS_PI_F_1_1_1,,SWC_1_1_1,,SW_IN_1_1_1,USTAR_1_1_1,,VPD_PI_F_1_1_1,,,,YES
US-Whs,AmeriFlux_FLUXNET,,NO,"2007, 2016",FC,FC,TA_1_2_1,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH_1_1_1,,,,,YES
US-ICt,AmeriFlux_FLUXNET,,NO,"2007, 2014, 2015, 2021:2022",FC,,TA_PI_F,TS_1_1_1,,SWC_1_1_1,,SW_IN_PI_F,USTAR,RH_PI_F,,,,,NO
US-ICh,AmeriFlux_FLUXNET,,NO,"2007, 2011, 2012, 2017",FC,,TA_PI_F,TS_1_1_1,,SWC_1_1_1,,SW_IN_PI_F,USTAR,RH_PI_F,,more TS data added,,,NO
US-ICs,AmeriFlux_FLUXNET,,NO,"2007:2009, 2012, 2013, 2022",FC,,TA_PI_F,TS_1_1_1,,SWC_1_1_1,,SW_IN_PI_F,USTAR,RH_PI_F,,more TS data added,,,NO
US-SRG,AmeriFlux_FLUXNET,,YES,,FC,,TA_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH_1_1_1,,,,,YES
US-IB2,AmeriFlux_BASE,,NO,"2004, 2014, 2017",FC,,TA,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH,,,,,NO
US-Kon,AmeriFlux_FLUXNET,,NO,"2006, 2008, 2012, 2016",FC_1_1_1,FC_1_1_1,TA_1_1_1,TS_2_1_1,,SWC_2_1_1,,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,NO
US-MOz,AmeriFlux_FLUXNET,,NO,"2004, 2006, 2011, 2015",FC_1_1_1 + SC_1_1_1,FC_1_1_1,TA_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,YES
US-NC2,AmeriFlux_BASE,,NO,"2011:2012, 2015, 2018, 2020:2023",FC_1_1_1,FC_1_1_1,TA_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,NO
US-Bar,AmeriFlux_FLUXNET,,NO,"2004, 2005, 2010, 2015, 2018, 2021:2022",FC_1_1_1,FC_1_1_1,TA_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,YES
CA-Oas,AmeriFlux_BASE,,NO,1996,FC + SC_PI_F,FC,TA,TS_2,,SWC_2,,SW_IN,USTAR,RH,,,,,YES
CA-TP4,AmeriFlux_BASE,,NO,2002:2003,FC + SC,FC,TA_PI_F_1_1_1,TS_PI_F_1,,SWC_1_1_1,,SW_IN_PI_F,USTAR,RH_PI_F_1_1_1,,,,,YES
CA-TP3,AmeriFlux_FLUXNET,,NO,2002:2007,FC + SC,FC,TA_PI_F,TS_PI_F_1,,SWC_1_1_1,,PPFD_IN_PI_F,USTAR,RH_PI_F,,,,,YES
CA-Man,AmeriFlux_BASE,,YES,"2000, 2007:2008",NEE_PI,FC,TA_1_1_1,TS_1_1_1,,,,PPFD_IN,USTAR,RH,,,,200,NO
CA-LP1,AmeriFlux_FLUXNET,,NO,"2007, 2011, 2017:2019",FC + SC,FC,TA,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH,,,52,250,YES
CA-Ca1,AmeriFlux_FLUXNET,,NO,1996:1998,NEE_PI,FC,TA_PI_F_1,TS_PI_F_1,,SWC_PI_F_1,,SW_IN_PI_F_1,USTAR,RH_1_1_1,,,32,310,YES
CA-Gro,AmeriFlux_FLUXNET,,NO,"2003:2004, 2008, 2014",NEE_PI,FC,TA_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH_1_1_1,,,148,,YES
CA-Obs,AmeriFlux_BASE,,NO,"1997:1998, 2000",FC + SC,FC,TA,TS_2,,SWC_2,,SW_IN,USTAR,RH,,,,,YES
CA-Ojp,AmeriFlux_BASE,,NO,1996:1999,NEE_PI,FC,TA_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH_1_1_1,,,,,YES
US-Jo2,AmeriFlux_FLUXNET,,NO,2010,FC,,TA,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH,,"interpolating SW_IN, otherwise ReddyProc does not work for years before 2013",40,180,YES
