"siteID","year","RMSE_window","Rsquared_window","RMSE_base","Rsquared_base","RMSE_water","Rsquared_water","RMSE_gpp","Rsquared_gpp","RMSE_water_gpp","Rsquared_water_gpp","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"DK-Sor",2003,2.09526447980862,0.391884126491511,2.68265050056738,0.0173777290516291,2.18453093886461,0.33959814940964,2.47881295835277,0.14914201415467,2.17412156668243,0.344671746288866,2.15830682305995,0.353829793445635,2.15710946730777,0.354508103167914,2.16152520677807,0.351903989056996,2.14868925983217,0.359589376962328,2.18342217106546,0.340110888350409,2.18477280506608,0.339259271566305,2.18557928509104,0.33886289548227,2.18684166210098,0.337936261123499,2.18295273838914,0.340151109716694
"FI-Hyy",2022,1.2512107185672,0.701731555739151,1.11917263326239,0.746235563091436,1.11816344178758,0.747395504067675,1.12440029362434,0.743960738237836,1.12293388819218,0.745273308243429,1.12236788495947,0.745494488860443,1.12216548335598,0.745674355473893,1.12089235827317,0.746392882655242,1.11435601558009,0.7493740414617,1.11819822526805,0.7475006922293,1.11583595689669,0.74856077238558,1.11013322590052,0.751233220671892,1.10014558295767,0.755856920874427,1.08610955686511,0.762176762106843
"FI-Hyy",2023,1.16883106160794,0.595800656914999,1.16072594254246,0.595285656809926,1.16559061110285,0.59180405474633,1.16414554907705,0.593103349281794,1.16886477180269,0.589600496792338,1.16507173239179,0.59244522611081,1.16282555289704,0.594045010316572,1.16516946926861,0.592568626157495,1.16337087259887,0.593664470511373,1.169912646139,0.588817678516132,1.16967003440448,0.588994780679938,1.16930997061404,0.589289794338411,1.16870481036029,0.589748115835353,1.16787019440482,0.59038515546921
"FI-Sod",2006,1.74208901564453,0.288888013877071,1.752435079795,0.280485400792205,1.72879931388759,0.299836882287685,1.74565855055437,0.28608019010635,1.70443547930877,0.320238652433138,1.69668500398608,0.32630074437561,1.70062006526543,0.323092343491064,1.70854687477655,0.31687708430588,1.70859592157154,0.316735031376906,1.71367813800395,0.312667554795423,1.70826214660958,0.317150153794195,1.70659399200195,0.318631516020027,1.71159844759034,0.314799043953276,1.71679586035763,0.310465320705778
"FI-Sod",2005,1.76486131390491,0.348478910425945,1.77960492500809,0.339090638672552,1.76926173050953,0.346810429852139,1.77615606445684,0.340652381123985,1.75845845717762,0.352884377773277,1.7592768669214,0.352416738886355,1.76051571625719,0.351365412473083,1.75715737312454,0.353620496384902,1.76017568631385,0.351298084943068,1.75232285588759,0.356966254904288,1.75443033556988,0.35549214136019,1.75712574841556,0.353478422086829,1.75450640445874,0.355307621857856,1.76071629869591,0.350778187924795
"FR-Pue",2007,0.982750475603225,0.579492369039123,1.1757892357023,0.414301801918843,1.16619726357143,0.414597519234294,1.17079104529892,0.405133899412654,1.15491588081394,0.419037441819541,1.15109814033937,0.421847429847844,1.14033942362124,0.432581571368846,1.12956164650728,0.445391688447534,1.12212885320362,0.453282341021196,1.09936384113331,0.47206499650124,1.07988775014798,0.490846708065668,1.06052868040585,0.50991020162172,1.05979833259871,0.5132382467018,1.05662304273581,0.517583775212025
"FR-Pue",2008,0.899817786018578,0.670157776462303,1.06438931163037,0.553119782400762,1.0173365480776,0.581648047095521,1.0661955701369,0.550600586463911,1.01955372509409,0.579285616518491,1.01990302549492,0.578831577412911,1.02009566183895,0.578590891751907,1.01587155764732,0.583180151261603,1.01078762099262,0.588102313224007,1.01466121346292,0.581199035729339,1.00397286819249,0.59053486963475,0.996680782067917,0.597381887265388,0.98809564545786,0.606465312866465,0.985379595269254,0.609601364145125
"IT-Lav",2007,1.48532382047436,0.249228722925437,1.54827136628021,0.185281866267651,1.5459289603141,0.188464785905117,1.54511376242543,0.187307342784048,1.54431730495325,0.188693177454147,1.53772680620539,0.191903976181507,1.53715787094102,0.191595451341982,1.53940931885401,0.188236224145256,1.53596623003661,0.191912101339763,1.53976954548655,0.193762876263457,1.53747666347875,0.195399820472195,1.53703904644632,0.194806269999352,1.53899726302595,0.191986010248604,1.53503248480252,0.193739424290155
"IT-Lav",2012,1.57655680611176,0.339298502781392,1.62954400797211,0.287131799484522,1.62831717903236,0.288912449406488,1.60977952171557,0.307515514053691,1.61032792423626,0.30399613410248,1.60880014849519,0.307979861069255,1.6010931903496,0.317597754565142,1.59314554338983,0.326499648102662,1.58955987114427,0.330684381733863,1.60162826181028,0.314950906118752,1.59752091694942,0.321027529808204,1.59303629591897,0.326587474234319,1.5926746754359,0.328393818501365,1.59150913365075,0.329359772138192
"IT-MBo",2008,3.33529621024971,0.161801030681706,3.3228347339039,0.220082604996651,3.2863106392404,0.22043068947651,3.17923635958347,0.237949325067903,3.17588838747899,0.239699985341347,3.12927158648115,0.261285830431409,3.16584253913747,0.243933755582,3.11340975094475,0.26933483968453,3.10199538086041,0.274202717592022,3.16185442550755,0.246129713572934,3.11765086695664,0.266963686235497,3.15385581589985,0.249631486921442,3.16581644115303,0.244061695911284,3.15280061125487,0.250281217465771
"IT-MBo",2012,3.13747830784896,0.130810679875836,3.1072002952107,0.150773775795688,3.09419195759381,0.156953821895627,3.08287567989918,0.164580637302775,3.07603190522333,0.168059505367412,3.07471961590928,0.168443660397398,3.06325488918448,0.174321066700254,3.09701236428003,0.155435742638187,3.09523218770572,0.155236108460532,3.07793086606972,0.165267249525841,3.06724370466425,0.170652046200608,3.05903258426002,0.174972656089451,3.07159794829089,0.16811701096871,3.06633696189403,0.170421143425407
"NL-Loo",2006,2.87643043981457,0.0660083656228564,2.92553561991766,0.0343847658007752,2.90043288095469,0.0504829222383146,2.9227737579221,0.0359950933412416,2.89727070821903,0.052612825132574,2.90515630753011,0.0476134674750423,2.90461848542308,0.0478995459815495,2.90277066552781,0.0489994614503423,2.90326739492695,0.0486882521776476,2.89307587154902,0.0549760318939094,2.89905411869126,0.0511954861849788,2.90221259538112,0.0492098280433556,2.901167766145,0.0497502882963113,2.90186363680734,0.0492931005910856
"RU-Fyo",2017,1.80954892439366,0.670722739943411,1.87446655748432,0.650586894869727,1.87471830256605,0.650628485217488,1.88753784134727,0.64064781413743,1.88686331639312,0.641512570852095,1.88724896250208,0.641322850645081,1.88735522396392,0.640323759445027,1.85894963451479,0.650941976779893,1.84278772589265,0.657123370771588,1.827921671306,0.663083259163602,1.79526046510464,0.676330211458591,1.77789838916972,0.681151769463618,1.77920644785363,0.681870504974693,1.78264778646761,0.680470342300224
"RU-Fyo",2020,2.23131617323416,0.545658898081757,2.20739320290421,0.554825399600827,2.20910880223806,0.553859737894133,2.20798994768407,0.554490535932335,2.21056582083872,0.55329638896168,2.20971525752889,0.553776479029474,2.20875650866984,0.554067157773028,2.20909982917454,0.554000396096521,2.20604227037095,0.555287404879512,2.23254022729173,0.543555125214019,2.2264376345641,0.546449709186875,2.22184103724388,0.548207918713947,2.21170446937943,0.552674066515091,2.21081853997019,0.553048457030053
