site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp
FR-FBn,43.24079,5.67865,433,MF,Csa,700,-561.031217,-1048.759881,487.7286638,14.17918059,6.518112649,0.719903847,6.832651808,0.312322154,0.653080885,1.851690379,1.666571775,62,0.064939954,0.000140405,0.082997887,3.28E-09
FR-Fon,48.476358,2.780096,104,DBF,Cfb,720,-591.8595692,-1088.31904,496.4594705,11.78157291,6.489655199,0.782169161,7.500926756,0.407642864,0.668099172,2.54211371,1.720085086,45,0.004434613,0.733276168,0.053028611,4.18E-05
GF-Guy,5.2788,-52.9249,48,EBF,Am,3041,-219.262193,-1774.38231,1555.120117,25.90239118,0.834548469,0.383940333,4.939175364,0.4743174,0.811933862,4.132823189,3.369946767,23.96599197,-0.020437122,0.585729027,0.166101912,0.000150506
IL-Yat,31.345045,35.051989,652,ENF,Csa,285,-128.6588153,-357.1603216,228.5015064,18.37615502,6.377912335,0.624908652,10.3076309,0.199036791,0.345148009,0.591916179,0.596915955,20.85048294,-0.023361662,0.065953699,0.0006645,0.949109932
SE-Deg,64.182,19.5565,270,GRA,Dfc,523,-52.35171376,-113.8946477,61.54293393,2.578362907,9.399473566,0.902916428,8.829492384,0.209691561,0.403204798,0.922377521,0.793380385,81.22222137,0.021781705,0.067320611,0.024517025,0.023270383
IT-SR2,43.732022,10.29091,13,ENF,Csa,920,-222.0094793,-1243.523578,1021.514099,15.80013189,6.137176723,0.396637986,7.80952793,0.363638427,0.779128469,2.535840614,1.819763477,76.83000183,0.006524039,0.645720902,0.00589061,0.7393264
CH-Dav,46.8153,9.8559,1639,ENF,Dfc,1062,-17.38580856,-558.4503074,541.0644989,4.405167189,7.092082804,0.716998184,7.902961279,0.202076474,0.436143668,0.889368032,0.796840449,94.02565002,-0.02039791,0.04575886,-0.01777105,0.034412692
DE-Akm,53.8662,13.6834,-1,WET,Cfb,558,-46.71887183,-558.9825569,512.263685,10.02900608,6.635480757,0.993876892,7.310357203,0.278787594,0.499805376,1.581386307,1.21551104,244,0.029278585,0.30985324,0.039474193,0.173112347
DE-Hte,54.2103,12.1761,0.2,WET,Dfb,645,-155.7901619,-412.3708217,256.5806597,9.821001477,6.877626866,0.80949768,5.516676301,0.295211128,0.589761018,1.702147167,1.199182387,107,0.084912528,0.018086303,0.120276611,0.000705115
DE-Hzd,50.96381,13.48978,395,DBF,Dfb,877,164.9111751,-444.6880072,609.5991823,9.883968124,7.494185893,1.128187705,7.849682181,0.316207221,0.714139088,1.883350293,1.202530185,79,-0.036975701,0.255097843,-0.016960937,0.625693722
DE-RuC,50.5031,6.336,610,OSH,Cfb,1250,144.4969326,-308.671177,453.1681096,8.394262699,6.642721127,0.627656801,6.559148959,0.283421044,0.751242788,1.763587188,1.227614897,79,0.025581064,0.223670455,0.015444112,0.339379961
DE-RuW,50.5049269,6.33096248,610,ENF,Cfb,1250,-477.3086122,-1018.199051,540.890439,8.503626195,6.620495969,1.147385188,6.033811437,0.283421044,0.751242788,1.640372152,1.244071853,79,0.022455876,0.244582476,0.035344093,0.063353249
DE-SfS,47.80629,11.32757,619,WET,Cfb,1127,-397.6562393,-626.6586283,229.002389,9.188936034,7.496782465,0.828849865,11.21916282,0.260687291,0.588811074,1.414108813,1.217325914,230,0.05549559,0.020800457,0.041537291,0.026437441
FR-Bil,44.493652,-0.956092,39,ENF,Cfb,960.1,-406.9057262,-1040.600523,633.6947969,14.10028563,5.788691702,0.533666979,9.756707911,0.311191159,0.574524938,1.23471419,1.476046817,62,-0.056523147,6.52E-05,-0.005380545,0.653185306
SE-Nor,60.0865,17.479504,58,ENF,Dfb,586,340.2249983,-264.6121591,604.8371574,7.185461238,7.74042637,0.623036401,6.971471379,0.292976502,0.628251314,1.788374987,1.167303817,68.95765686,-0.031657553,0.236958538,0.002514974,0.954801697
