"siteID","year","RMSE_window","Rsquared_window","RMSE_base","Rsquared_base","RMSE_water","Rsquared_water","RMSE_gpp","Rsquared_gpp","RMSE_water_gpp","Rsquared_water_gpp","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"FR-Pue",2021,1.165676603418,0.598515955689094,1.26039233231878,0.540885671883652,1.23570421747566,0.55507981255369,1.26179545753689,0.539144447613738,1.23699449464178,0.553249145590809,1.23805617657166,0.552113093197675,1.23760836038986,0.551968300908929,1.23820782024885,0.55152807555699,1.23809617725291,0.550903424326169,1.23765018236497,0.550389352341072,1.23699729627067,0.550398728471672,1.23092840221516,0.554460561754258,1.22630673565885,0.557995830068694,1.21637911122828,0.564323522880648,1.20820710656336,0.569797851343029,1.21003271594357,0.568571618287898,1.20175192208511,0.574068080230985,1.1974440174107,0.576949866950164,1.1932499166835,0.579868993138785,1.18073803360536,0.588922609855189
"IT-Lav",2017,2.36050365567297,0.180225762789689,2.38443950084104,0.160505600519298,2.38312538675185,0.161860624786188,2.37640691168925,0.162654394351188,2.37988162040864,0.15814308591446,2.38300136060645,0.156469661879492,2.37578567262475,0.163349491933923,2.37493739935607,0.164201075793232,2.37559785635513,0.163943137768937,2.37613492643194,0.16386403618759,2.37403223019469,0.166115024929676,2.37483234288007,0.165667960542222,2.38359877507734,0.15965668695313,2.38441316709558,0.158976592573992,2.38501251841063,0.155817807641081,2.38494394418334,0.15584113119153,2.38523261724616,0.154712417402172,2.38483257488355,0.155192120830044,2.38316631987044,0.156649490029088,2.3838398459252,0.15628866158615
"IT-Lav",2014,1.60574335357309,0.192249661537341,1.63514602158499,0.166221956631522,1.63557439419608,0.165841935517634,1.63654437656156,0.165223670027942,1.63688157412015,0.164610048981989,1.63670139547947,0.164840797199809,1.63687281339922,0.164558239212823,1.6369024854638,0.164612239929315,1.63653112897429,0.164876251752183,1.63656471617718,0.164800438135643,1.63585174054888,0.165554196425527,1.63492951078893,0.16537524671338,1.63659928675871,0.164781077431811,1.63657452940038,0.164865074607496,1.63659386122274,0.164896538361152,1.63664972939942,0.164842361700209,1.63623355222794,0.165181733934154,1.63559869888731,0.165913706602038,1.63520646578968,0.165849606576589,1.6348371450969,0.166223620170087
"IT-MBo",2005,3.06821371945136,0.228215618966246,2.92706655634901,0.297501415678162,2.93274201427301,0.294925598839568,2.92362228513517,0.301488179733862,2.92798684585022,0.299638039642539,2.93833398933987,0.293886082839801,2.93469541211791,0.296882830242488,2.94143477983973,0.293228794861614,2.93910099089969,0.295293985509038,2.93700920713995,0.296905143846676,2.93414318177214,0.29867640608015,2.93327028290478,0.299165124842522,2.92281735080596,0.302386414556757,2.95697303202848,0.285053994046332,2.96189619468968,0.282660375466975,2.96601870332173,0.280171480501707,2.97004421272693,0.278437411610344,2.9644375635906,0.280868342209692,2.96173647396207,0.281965501532298,2.94842031858637,0.288928339013143
"IT-MBo",2017,3.00604437752961,0.216428803165427,3.07299574534804,0.186176144107,3.03688416512381,0.227112889725331,3.0756573336325,0.17844736863889,3.02638269663375,0.209118590715489,3.01690857165585,0.211337171443314,3.02361590566496,0.207959077178242,3.03121349296305,0.203921248017735,3.0337467301995,0.203643660379647,3.02789338104779,0.206634779791066,3.02672976491144,0.206600747897382,3.02495819281445,0.208154593169578,2.99868499308056,0.223030017371582,2.98126226917186,0.230393103988526,2.98409244689949,0.22909177657611,2.99306758705606,0.223914889637024,3.00456332218944,0.218078717581741,3.01147265388143,0.214588214202508,3.01308060013227,0.213431500066791,3.00830473055521,0.214010447755968
"NL-Loo",2005,2.34097147380277,0.0818757208347165,2.39601539627802,0.0394850825227651,2.39204512874387,0.0412091977116491,2.39966704562457,0.0360299795515197,2.39437013209798,0.0391600656846809,2.3929137408584,0.0401540439842212,2.39230734450825,0.0404963938822649,2.38344563815361,0.0478313297159961,2.38622035701626,0.0456049370846758,2.38418941224726,0.0474003229353634,2.38633873481854,0.0454873976149939,2.38394490015662,0.0477387971194461,2.37630056810406,0.0534786409687013,2.36862938319097,0.0596468612224638,2.36410658199129,0.0633480603927704,2.35569048197281,0.0702528385835014,2.36005227744874,0.066904278553008,2.35919573921675,0.0676955710389511,2.36224686503165,0.0652399212225171,2.37130851497142,0.0579650536375133
"NL-Loo",2004,2.6188808000895,0.0343789213119563,2.67554323989671,0.00844861798609525,2.63934636232487,0.0258804560361386,2.67594088082133,0.00819913816972249,2.64040745650085,0.0252723411025359,2.63863454362031,0.0261868965352374,2.63593940917379,0.0277690293141209,2.63449486753992,0.028447715487184,2.63614955030263,0.0271101931133284,2.63484119523755,0.0277522892181676,2.63552448681213,0.0272428484299208,2.63536317181235,0.0267420245844838,2.63897885443585,0.0259552829396977,2.63003747768047,0.0308912933355661,2.62420145556882,0.0341451665003011,2.62130607573477,0.035604161166274,2.6255857208124,0.0326760438815299,2.62569474131365,0.0322849295052342,2.6284109873382,0.0304119216997724,2.63030272394321,0.0288477579151896
"RU-Fyo",2008,1.96497661412186,0.742276624153543,1.91874750133185,0.771987558900489,1.91950513838746,0.771766188462885,1.92073860427831,0.762392684654088,1.92285854774141,0.762392102641629,1.92162849971413,0.761976441799972,1.92988036203171,0.76400805135567,1.92575136849491,0.76163146756902,1.92558464303056,0.764095786707553,1.92218696336444,0.764363296943292,1.91921188608118,0.762546083270612,1.89477824706531,0.767403283853435,1.85241932004708,0.771983129667678,1.86210208266608,0.768873024938518,1.89936923438746,0.761478614691243,1.89135090003951,0.763062637213742,1.88635355519813,0.764976489886247,1.88205442473082,0.76567609631008,1.8697511098096,0.768196995553862,1.86882627793339,0.768741565040934
"ZA-Kru",2009,2.10450118214604,0.426297182746399,2.71106997340194,0.0515903485322759,2.3602683332559,0.290905111600318,2.31815523303019,0.304807948356683,2.17190605278668,0.389279980948184,2.12959303295186,0.413334245927271,2.10866948871769,0.425919575261855,2.11630596029961,0.422882245854102,2.12715077266174,0.418139565627951,2.1367001381411,0.413889101595028,2.14439670201968,0.410570166987204,2.15164852989522,0.41027699767064,2.36099053625266,0.290645686093664,2.36050439131378,0.2913359627483,2.36054791521327,0.291593261875238,2.36014965416881,0.292059022944933,2.36011310692987,0.292068688280136,2.35984318333191,0.292264850114415,2.36046425295992,0.291785483810795,2.36196553353246,0.290702895599374
"ZA-Kru",2001,0.984197948244836,0.304419993163199,1.20134646780357,0.00363828161946499,1.0919988000499,0.204756292057462,1.17386564758984,0.106557781965138,1.07311267223546,0.235947207095009,1.05347314481458,0.24473261784867,1.06661494417047,0.237122139234484,1.07851268242074,0.222210940775608,1.08277554731136,0.212866969853749,1.09328437523,0.201861178876081,1.09216323043708,0.201123325676032,1.09159107036485,0.202128336461379,0.995158302069727,0.300099335729253,1.01181436521009,0.27909633391484,1.04346494890168,0.251406331765802,1.06841961324365,0.226238698874321,1.07964919623975,0.213966911099584,1.09010791516894,0.202519461086482,1.08929823809669,0.203413314658896,1.09041835281902,0.203323990586909
