"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Direct only",39,0.0485387511361519,0.00450278242918131,0.0476897500705065,0.00453183397046922,0.000849001065645481,0.00233818252355958,0.04,0.04,0,0,0
"Direct only",40,0.0420827884926904,0.00496075368698051,0.0434234106195372,0.00502056282930449,-0.00134062212684678,0.00225317948267762,0.04,0.04,0,0,0
"Apparent only",1,0.0247291177237343,0.00553102878919879,0.00384139343104856,0.011043239615485,0.0208877242926857,0.0096118824807824,0.0199,0,0.0199,0.0199,0
"Apparent only",2,0.0245387026607211,0.00388773947760341,-0.00382380482411716,0.00861795878439438,0.0283625074848382,0.00837128858342509,0.0199,0,0.0199,0.0199,0
"Apparent only",3,0.0257624421564916,0.00507652474500751,-0.00303127578323329,0.010450160913171,0.0287937179397249,0.00949607873400493,0.0199,0,0.0199,0.0199,0
"Apparent only",4,0.0090885386058246,0.00425906778847449,0.00755039557776777,0.0105135997933544,0.00153814302805677,0.0085699897592781,0.0199,0,0.0199,0.0199,0
"Apparent only",5,0.0162724947061982,0.00452879062960211,-0.00751191891866163,0.00784560127775055,0.0237844136248599,0.00832628760245314,0.0199,0,0.0199,0.0199,0
"Apparent only",6,0.00931270359653466,0.00413169799958864,-0.0059230276587649,0.00916704028548268,0.0152357312552996,0.00778651868488275,0.0199,0,0.0199,0.0199,0
"Apparent only",7,0.0143011845838832,0.00387141593402836,-0.0099627850504081,0.00962695419744934,0.0242639696342913,0.00812553342487652,0.0199,0,0.0199,0.0199,0
"Apparent only",8,0.0219740398377435,0.00468611451643088,0.00193374656925604,0.00865621214296356,0.0200402932684874,0.00732405327076767,0.0199,0,0.0199,0.0199,0
"Apparent only",9,0.0212210420828233,0.00480169231062193,-0.00336806617259919,0.00918664777583865,0.0245891082554225,0.00825997140898063,0.0199,0,0.0199,0.0199,0
"Apparent only",10,0.00850784896541574,0.00416397246738479,-0.000573510221124209,0.00795435212281555,0.00908135918653995,0.00631338370269671,0.0199,0,0.0199,0.0199,0
"Apparent only",11,0.0220410206865835,0.0035084296975942,0.00893711827605422,0.00884720123609537,0.0131039024105293,0.00870482297701622,0.0199,0,0.0199,0.0199,0
"Apparent only",12,0.0207717677661965,0.00471269111421616,0.000918276636743205,0.0111822976542068,0.0198534911294533,0.00998490069200465,0.0199,0,0.0199,0.0199,0
"Apparent only",13,0.0170416764399832,0.00362111520897497,-0.0162335582062336,0.00981471626951764,0.0332752346462168,0.00747590596486213,0.0199,0,0.0199,0.0199,0
"Apparent only",14,0.0216696086007722,0.00539980337159373,0.0063590858102526,0.00912215332465927,0.0153105227905196,0.00753799626504445,0.0199,0,0.0199,0.0199,0
"Apparent only",15,0.0195895339976736,0.00493092912004966,-0.0157402806277746,0.00998966681134348,0.0353298146254482,0.00873242368594597,0.0199,0,0.0199,0.0199,0
"Apparent only",16,0.0115414574227018,0.00362775770159739,-0.0202493763567802,0.00859705694685758,0.031790833779482,0.00843727293957816,0.0199,0,0.0199,0.0199,0
"Apparent only",17,0.0150919794038104,0.00480809057979206,0.0159553148748635,0.00962146153186215,-0.00086333547105311,0.00784178212487582,0.0199,0,0.0199,0.0199,0
"Apparent only",18,0.0152150710674555,0.00461586522895071,-0.000520108259229366,0.00657922429399028,0.0157351793266848,0.00537433204788871,0.0199,0,0.0199,0.0199,0
"Apparent only",19,0.0184735530179286,0.00531736991558934,0.0107207551948297,0.00950307237782714,0.00775279782309887,0.00753327586638746,0.0199,0,0.0199,0.0199,0
"Apparent only",20,0.0156327611512026,0.00566218232324971,-0.0120546316799937,0.0116073950121409,0.0276873928311963,0.00863539112215056,0.0199,0,0.0199,0.0199,0
