"site_ID","LAT","LONG","ELEV","IGBP","Climate_class","MAP","NEE","NEE_day","NEE_night","MATA","SSTA","IATA","DRTA","EVI","NDVI","LAI","GPP","SOC","TAS_tot","TAS_totp","TAS","TASp","Tmin1","Tmin2","Tmin3","Tmin4","Tmin5","Tmin6","Tmin7","Tmin8","Tmin9","Tmin10","Tmin11","Tmin12","TS_TA","TSmin_c","TSmin_c_gs","NEE_night_mod_p","NEE_night_mod_f","NEE_night_mod_fa","R2"
"US-GLE",41.3665,-106.2399,3197,"ENF","Dfc",1200,-42.1674098081793,-303.74826535394,261.580855545761,0.332191423096627,9.37434337922775,0.75892300061711,6.96551227255155,0.19259468702435,0.394892674484259,0.437811560046835,0.412233439218874,34,0.0106144661254542,0.300454761411887,0.0176073809847253,0.0810552254009733,1.88014640808105,3.30681324005127,2.38879127502441,2.47978038787842,2.73765563964844,2.71194133758545,2.37684965133667,3.09780216217041,2.69289374351501,3.36131858825684,2.49120855331421,2.58527450561523,1.02751539295442,2.74950065363385,2.81775485069653,2.93564628675049,3.06920142804929,3.16238462134109,0.354066931090104
"US-Me2",44.4526,-121.5589,1253,"ENF","Csb",523,-352.598034904017,-794.334843163624,441.736808259608,7.96091504048442,7.89864891939212,0.597719394793707,7.78935665986664,0.307782037271677,0.613216335402696,1.92881377807634,1.22255615035829,62.5595933183088,-0.0326802599293371,0.0137051902077613,-0.031463969859887,0.0107115938741641,1.33347988128662,1.9653480052948,1.66300373077393,1.31267399787903,0.944395542144775,1.31457872390747,1.74732608795166,2.19194145202637,1.91677651405334,1.65443222522736,2.1380952835083,1.68608064651489,0.983085424786863,1.62767258966484,1.60506178993285,3.76169000347919,4.21140027231806,3.99618981994469,0.637689082055448
"US-NR1",40.0329,-105.5464,3050,"ENF","Dfc",800,-196.978231574533,-441.815823357289,244.837591782756,2.38039954436845,8.79652290713141,0.529362658342584,7.41998027791418,0.260572977824396,0.513702302610155,1.28948856696981,0.916444570729847,41,-0.0364009515913365,0.00209119927643946,-0.0113644381665079,0.222927977496766,1.78849811553955,3.00615425109863,2.38388271331787,2.32417573928833,2.55384621620178,2.57582421302795,2.19465198516846,2.78673996925354,2.54915752410889,3.15868124961853,2.47501811981201,2.54197788238525,0.624693775232439,1.57936162946555,1.61597474805324,2.74518979619755,3.23817452959713,3.05318935874778,0.239126949795722
"US-WCr",45.8059,-90.0799,520,"DBF","Dfb",787,-279.449879830527,-615.761801766874,336.311921936347,5.25320701878075,11.6162168594292,0.905934512325543,8.5221571727508,0.314963571918326,0.509575196835433,1.87511823846096,1.1605769742107,133.741992787136,0.0166950571098453,0.31748120843717,0.0210019212588387,0.150840708619409,2.35772953033447,4.25626392364502,2.99531154632568,2.00065932273865,1.98945045471191,1.64908409118652,2.19516448974609,2.73846168518066,2.06959714889526,2.38732600212097,1.80424900054932,2.91626377105713,0.64961044658855,1.5893564592572,1.42732382200017,4.1279008154822,4.6530119204973,4.76522134115642,0.0547383890170234
"US-UMB",45.5598,-84.7138,234,"DBF","Dfb",803,-222.070158376689,-652.223817873483,430.153659496794,7.14666806092529,10.5814384833498,0.94486991907631,7.38299038654482,0.324729545576914,0.516272400014923,2.12886593098486,1.68618118277874,81.3574314255783,-0.00229819874361511,0.785357411157894,0.00104929768984679,0.877836579449766,3.66600761413574,3.80600719451904,3.22732605934143,2.28102560043335,1.72608060836792,1.6865198135376,2.19531097412109,2.42630023956299,2.09706954956055,2.39985356330872,2.008717918396,3.48153853416443,0.708329350540633,1.82995457296823,1.49507352663773,5.38386554217143,5.93899641200866,5.91862517985105,0.0998399691826493
"US-MMS",39.3232,-86.4131,275,"DBF","Cfa",1032,-362.721084655538,-767.544919660513,404.823835004975,12.4799725167441,9.99122154421021,0.722759136978528,7.96366122221873,0.397461544346683,0.658723739603568,2.35535341726433,1.5498247075054,35,-0.0252984110462703,0.00713886489066079,-0.0183289755411849,0.011709750091006,2.07956027984619,2.27304034233093,1.79956042766571,0.832820606231689,1.01985359191895,1.56549453735352,2.52761878967285,2.36688690185547,2.04468898773193,1.7923810005188,2.30644693374634,2.03597073554993,0.655597885225021,1.23713086327327,1.272217687018,4.42391407678345,4.59995747521429,4.45426459377372,0.110887941562192
"US-PFa",45.9459,-90.2723,470,"MF","Dfb",823,5.43055146062494,-312.911104455532,318.341655916157,5.75627147552502,11.5264183402542,1.24042261438011,8.67869466339043,0.318687832903812,0.571651959815896,1.85520053387414,1.19569368035885,133.741992787136,-0.0201609940770122,0.180108027952201,-0.00190034929878832,0.897937940282822,2.401171875,4.32520160675049,3.02395582199097,2.01509160995483,2.09098901748657,1.80549449920654,2.27245445251465,2.82556762695312,2.02783908843994,2.49641056060791,1.76666655540466,2.85487155914307,0.712477368701601,1.77559538455763,1.65387966535946,6.37861802687813,7.18841366569419,6.95267625844384,0.0540107603666899
"US-Syv",46.242,-89.3477,540,"MF","Dfb",826,-137.448386267437,-555.987407250306,418.539020982869,4.5960791753273,11.5954027312467,0.997032232795844,8.02176506287872,0.269013311491147,0.526037184085669,1.86648920751807,1.1863850450208,136.433186414095,-0.0273411625490899,0.234882648605198,0.00472732804845228,0.803375560746027,2.44549503326416,4.15032939910889,2.95531158447266,1.97245419025421,2.06820521354675,1.72146511077881,2.1610258102417,2.57443218231201,1.74791221618652,2.26681308746338,1.68783874511719,2.8671796798706,0.695723687783142,1.65921184142277,1.50126513757768,6.63213357000445,7.50394228317857,7.20216867870506,0.112462498623628
"US-Whs",31.7438,-110.0522,1370,"OSH","Bsk",320,18.235857606575,-25.3793462315335,43.6152038381085,17.1993369917781,7.37288428145715,0.399872972133467,15.1026575620465,0.116940293796712,0.197097685124003,0.253273051307468,0.264389196033975,7,-0.1771844821744,0.000963059533270775,-0.0469942708298214,0.369875954869924,0.490842437744141,0.680659341812134,0.0553848266601562,0.207252502441406,0.934505844116211,0.698461532592773,1.01648368835449,1.20300369262695,1.45641059875488,1.71794910430908,0.877142906188965,0.706446886062622,1.28987689388893,1.07968536598963,1.80850611530314,0.772962194165266,0.741600202564097,0.538275799803406,0.0693157524809815
"US-ICt",68.6063,-149.3041,930,"OSH","ET",318,-0.447245780150268,-7.43240285083289,58.751330815993,-5.13057674216223,12.0146960231244,0.790707365134885,7.15070786776756,0.100842193763491,0.173642229577809,0.738432515753046,0.546040890951644,128,-0.177660410804582,0.0610386003495171,-0.178682764843671,0.0465257969726175,4.0723087310791,1.45289344787598,3.26791229248047,1.66886520385742,1.47194137573242,1.99333329200745,2.13736276626587,2.32109880447388,2.10446887016296,1.31047630310059,3.4550910949707,2.99406623840332,0.417234746818053,0.982233819691317,0.939576870651707,1.24199541835086,1.35155507648896,1.14377045911754,0.0104291004570366
