0,site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
92,CH-Dav,46.8153,9.8559,1639,ENF,Dfc,1062,-17.38580856,-558.4503074,541.0644989,4.405167189,7.092082804,0.716998184,7.902961279,0.202076474,0.436143668,0.889368032,0.796840449,94.02565002,-0.02039791,0.04575886,-0.01777105,0.034412692,2.849890137,2.576336956,1.967692566,0.419194221,0.992454183,1.035531187,2.298974323,2.261611652,2.20813179,1.652893758,1.12923069,2.587106228,0.615032334,1.126485416,0.957657292,2.854201332,3.289297746,3.225667429
79,CH-Fru,47.115833,8.537778,982,GRA,Dfb,1651,-298.7561419,-912.3578601,613.6017183,8.040394743,7.207652341,0.634855889,7.570932517,0.412596029,0.604985807,1.838815037,1.284101184,82.63198853,0.004339822,0.533523552,0.009804798,0.173823903,2.505714273,2.299194145,1.89809525,0.353479815,0.863370228,0.682271194,1.980073357,2.025714493,1.90520134,1.446226978,1.105934048,2.421025658,0.808073943,1.312197659,1.061717496,7.235017322,7.943221069,7.979905217
60,CH-Lae,47.4783,8.3644,689,MF,Cfb,1100,-230.3016917,-775.6492879,545.3475963,8.915765745,7.766882903,1.374109694,6.149768178,0.402360013,0.6917319,2.704207068,1.473129309,79.23197937,0.056037398,7.02E-08,0.058002674,2.13E-08,2.334432268,2.074798512,1.861831522,0.413333321,0.847985268,0.649523735,1.957728577,2.018900871,1.921977997,1.470109844,1.102271008,2.343003654,0.628703905,0.995232863,0.956418994,5.270111169,5.34744937,5.641866361
61,CZ-BK1,49.5021,18.5369,875,ENF,Dfb,1316,-706.6733244,-1175.156682,468.4833579,7.291310547,7.844266283,1.003470324,5.894623387,0.302740047,0.694963782,1.84740988,1.125236073,235.81073,0.032928944,0.025902233,0.05342783,0.001702631,2.720512772,2.3594872,2.381904745,1.10446887,1.555311394,1.300512886,1.784175491,1.731941414,2.265274906,1.639560509,0.668131888,2.637435913,0.603207028,1.113355196,0.995219874,2.773934274,2.990716813,3.090350871
80,CZ-RAJ,49.443724,16.696513,648,ENF,Dfb,681,-383.8099078,-859.1850694,475.3751616,8.30023572,8.578157401,0.662898357,5.839098805,0.270829953,0.629061353,1.631297266,1.123155914,124.493309,0.015903718,0.384261866,0.029587294,0.124254546,2.535677576,2.014065957,2.230989027,0.779194069,1.464908791,1.181025887,1.841465187,1.835311317,2.173333168,1.596923065,0.718754601,2.348278332,0.578627778,0.999093775,0.956436311,3.733334368,3.958070716,4.01873673
81,CZ-Stn,49.035975,17.9699,564,DBF,Dfb,685,-278.4308721,-821.3693176,542.9384455,8.981183231,8.378014241,0.696085384,5.978236731,0.361638678,0.655961827,2.355919025,1.209672552,84.73412323,-0.011739842,0.300939477,0.001496075,0.910773807,2.70161171,2.285640907,2.261318731,0.897948742,1.475751019,1.323003578,1.862271118,1.917728996,2.401977921,1.727912235,0.639633691,2.547032928,0.655704176,1.204410084,1.213647133,4.475099175,4.648132832,4.582375684
62,CZ-wet,49.0247,14.7704,426,WET,Dfb,604,70.61511283,-389.1164304,459.7315432,8.886855229,7.664662047,0.735638213,10.81322534,0.375033785,0.584404436,1.402278635,1.132827546,76.55177307,0.013212247,0.432543276,0.006737828,0.74529744,2.40065937,1.936043954,2.007326031,0.450329638,1.256044006,0.967179489,1.742417526,1.898461533,2.296996307,1.76249094,0.690695953,2.189084244,0.721225374,1.177864952,0.922696201,5.517536361,6.028903188,6.102850709
93,DE-Akm,53.8662,13.6834,-1,WET,Cfb,558,-46.71887183,-558.9825569,512.263685,10.02900608,6.635480757,0.993876892,7.310357203,0.278787594,0.499805376,1.581386307,1.21551104,244,0.029278585,0.30985324,0.039474193,0.173112347,1.626227093,1.408864522,1.82747252,0.868131828,1.308351517,1.44967041,1.603077126,1.591282463,1.641978073,1.694652176,0.942417669,1.552454209,0.633455055,0.924558249,0.94393937,4.850692201,5.557187679,5.712914857
63,DE-Gri,50.95,13.5126,385,GRA,Cfb,901,-84.30589712,-629.3600699,545.0541728,8.805153606,7.493733116,0.726677589,10.00271773,0.350130309,0.674273162,2.345711073,1.246221999,89,0.021825979,0.210237781,0.015328397,0.253318183,2.060805941,1.628278375,2.007838821,0.484249115,1.182197666,1.154138947,1.817289162,1.775311661,1.928790855,1.519267464,0.7421978,1.886080647,0.76142276,1.153964521,0.833277407,5.568357227,6.149638378,6.262505691
64,DE-Hai,51.0792,10.4522,430,DBF,Cfb,720,-504.9540476,-945.6854347,440.7313872,8.575965303,7.524233865,0.865467475,5.644504684,0.377834505,0.684471695,2.145898905,1.146030609,79,-0.033032953,0.00151061,0.001598966,0.84888331,1.805201483,1.325128174,1.892600751,0.481465292,1.232967091,1.224542046,1.899780273,1.848424721,2.044908714,1.547252846,0.784102535,1.8335531,0.673786318,1.00618347,1.14627813,3.874579149,4.133486438,3.979898326
94,DE-Hte,54.2103,12.1761,0.2,WET,Dfb,645,-155.7901619,-412.3708217,256.5806597,9.821001477,6.877626866,0.80949768,5.516676301,0.295211128,0.589761018,1.702147167,1.199182387,107,0.084912528,0.018086303,0.120276611,0.000705115,1.332325995,1.384432286,1.824175864,0.936630249,1.353388071,1.630769253,1.564835072,1.515934467,1.482051373,1.544963717,0.960164726,1.343498111,0.574822975,0.808257109,0.883759511,3.415146464,3.587343235,3.866903805
95,DE-Hzd,50.96381,13.48978,395,DBF,Dfb,877,164.9111751,-444.6880072,609.5991823,9.883968124,7.494185893,1.128187705,7.849682181,0.316207221,0.714139088,1.883350293,1.202530185,79,-0.036975701,0.255097843,-0.016960937,0.625693722,2.033113527,1.521684957,1.997362661,0.521758175,1.178461552,1.187325859,1.79611721,1.782930756,1.910915756,1.533333302,0.733846188,1.873992729,0.639106316,0.962432475,0.936632063,7.189914551,7.985860803,7.71402385
82,DE-Obe,50.78666,13.72129,743,ENF,Dfb,996,-226.0576898,-858.8589465,632.8012567,6.931686928,7.727484488,0.792809282,5.242184288,0.281580623,0.706213976,1.644797587,1.111574767,89,-0.003526921,0.745950904,0.024396427,0.087094408,2.093626356,1.634725428,2.008205056,0.516410327,1.209377193,1.19025631,1.78959713,1.797216225,1.929011059,1.532380772,0.739267409,1.948351598,0.711027414,1.089556182,0.998811278,5.412464173,6.025436447,6.00424781
96,DE-RuC,50.5031,6.336,610,OSH,Cfb,1250,144.4969326,-308.671177,453.1681096,8.394262699,6.642721127,0.627656801,6.559148959,0.283421044,0.751242788,1.763587188,1.227614897,79,0.025581064,0.223670455,0.015444112,0.339379961,1.229450536,0.84886446,1.341538429,0.154725313,0.942564201,0.951281929,1.798461342,1.969670486,1.875971031,1.173113632,0.63025651,1.552893806,0.784300813,0.945657089,0.832322683,4.32057519,4.791906708,4.89502847
83,DE-RuR,50.6219,6.3041,514.7,GRA,Cfb,1033,-118.1924847,-824.3599101,706.1674254,8.585240935,6.439987981,0.695806874,7.157439461,0.473789227,0.688206331,2.001362852,1.308888839,70,0.007807575,0.413661705,0.018877603,0.11099875,1.196483517,0.82747252,1.387179494,0.152380943,0.878461647,0.9815382,1.880952263,1.813699532,1.821392059,1.153553104,0.647325993,1.655091548,0.724818876,0.869512705,0.741203547,6.606490684,7.027388156,7.068173568
97,DE-RuW,50.5049269,6.33096248,610,ENF,Cfb,1250,-477.3086122,-1018.199051,540.890439,8.503626195,6.620495969,1.147385188,6.033811437,0.283421044,0.751242788,1.640372152,1.244071853,79,0.022455876,0.244582476,0.035344093,0.063353249,1.237582421,0.854285717,1.342344284,0.171501827,0.915751076,0.955457687,1.806666565,1.942564201,1.841465759,1.1865201,0.641831541,1.574871826,0.532093448,0.641653396,0.62395934,5.060288454,5.630990407,5.71044467
98,DE-SfS,47.80629,11.32757,619,WET,Cfb,1127,-397.6562393,-626.6586283,229.002389,9.188936034,7.496782465,0.828849865,11.21916282,0.260687291,0.588811074,1.414108813,1.217325914,230,0.05549559,0.020800457,0.041537291,0.026437441,2.7232234,2.304615402,1.981025672,0.462710857,1.245641041,0.81164856,2.019780731,2.001612091,2.380220032,1.901392078,1.100219774,2.538754606,0.41570457,0.743794006,0.670972182,3.77400789,3.994332096,4.145868837
65,DE-Tha,50.9626,13.5651,385,ENF,Cfb,843,-476.4726062,-882.3073245,405.8347183,9.402551341,7.786198557,0.983414472,6.327494829,0.326846296,0.725934082,2.003417007,1.169481732,79,-0.010826534,0.031370785,0.010533414,0.151750263,2.064981651,1.538608027,2.062564039,0.564395523,1.215018272,1.186739922,1.824028969,1.765421486,1.930842209,1.536630058,0.692893887,1.917362714,0.701470303,1.06971221,1.050581493,3.625958244,3.885455505,3.841512111
66,DK-Sor,55.4859,11.6446,40,DBF,Cfb,660,-228.2771997,-912.3899291,684.1127294,8.761278262,6.46255963,0.794071683,5.091216518,0.394364844,0.631647917,2.57819245,1.506749902,91.67423248,-0.028739344,1.08E-05,-0.019736597,0.007768897,1.200952387,1.291355276,1.769010973,0.944249058,1.345714569,1.606300354,1.594578743,1.575750542,1.394359016,1.501025963,1.071282101,1.21890111,0.574062646,0.789981006,0.866208189,7.420523125,8.041344572,7.843632445
85,ES-LJu,36.926594,-2.752115,1613,OSH,Csb,400,-9.391672394,-74.64457368,65.25290129,11.96583513,6.879885067,0.552650551,6.871019162,0.156131754,0.364742,0.37733976,0.559924323,37.08029556,-0.128619043,0.000148378,-0.126256459,0.001165899,1.601685023,1.824835205,0.90615387,0.615677643,0.950769234,1.150769234,1.571722031,1.868791199,2.143296814,1.388791275,1.825860691,1.746007276,0.990340188,1.452033441,1.406030144,0.390831441,0.391291667,0.326559113
67,FI-Hyy,61.8474,24.2948,181,ENF,Dfc,709,-214.3829499,-519.4189779,305.036028,4.800296168,9.113926888,1.143711177,6.323518454,0.244738757,0.505136386,1.943659673,1.074986145,44.4856987,-0.033550306,2.67E-12,-0.012176135,0.013820695,3.755384636,2.35809536,3.570109653,2.381465244,2.117069674,2.439780426,1.698974228,1.984908485,1.319780159,2.467619085,2.177435875,2.838974333,0.682527679,1.655675483,1.418312836,3.743064021,4.28378054,4.084711466
68,FI-Sod,67.3624,26.6386,180,ENF,Dfc,500,98.69725862,-99.03957884,197.7368375,1.025611555,10.62006747,0.602333311,8.273908543,0.142862776,0.331580344,0.518258003,0.48274721,133.773407,0.005294499,0.691000041,0.005998622,0.740643486,3.354432297,3.019927406,3.832381058,1.663882637,2.333186913,2.736996365,1.851208878,1.90490818,1.667985201,2.636556768,2.87304039,2.563150215,0.759425775,1.926261727,1.426823532,3.129783499,3.857344169,3.886594105
