site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
FR-Bil,1.679291061,0.466996722,2017,14,17,-0.005817456,0.627846717
IT-TrF,2.869394909,0.034280592,2017,14,13,0.06805844,6.04493432767023e-06
SE-Nor,1.902761194,0.510722272,2015,14,5,0.002648293,0.952041567
SE-Svb,1.734421644,0.500725183,2023,14,8,-0.018783286,0.322436239
UK-AMo,1.337319386,0.343580905,2007,14,7,0.010198391,0.51799235
CA-Mer,2.188274042,0.188116602,2009,14,10,-0.040796895,0.000249638
CA-TPD,3.703676182,0.18840235,2019,14,9,0.091471051,6.36762497051662e-06
US-BZS,4.65788799,0.061931872,2019,14,10,0.083388043,0.026362774
US-Cwt,5.660588363,0.092469874,2024,14,7,0.002022973,0.962764511
US-Rls,1.105487868,0.307503625,2015,14,10,-0.015205866,0.201340447
US-Rws,0.805289323,0.323303466,2019,14,8,0.000511018,0.958109365
