"site_ID","Tmin1","Tmin2","Tmin3","Tmin4","Tmin5","Tmin6","Tmin7","Tmin8","Tmin9","Tmin10","Tmin11","Tmin12"
"US-IB2",2.37963347434998,3.42835168838501,2.56249094009399,1.53978021144867,1.41619057655334,1.53970718383789,2.32754516601562,2.42857117652893,2.0026371717453,2.04534800052643,1.76791210174561,2.35963377952576
"US-Kon",1.55750916004181,2.86315031051636,1.88754577636719,1.77494511604309,1.97150201797485,1.95538423061371,2.60029335021973,3.23963289260864,2.71934041976929,3.22835164070129,2.13904767036438,2.17487187385559
"US-MOz",1.5259340763092,2.5776556968689,1.91399269104004,1.281098985672,1.38798546791077,1.67084209918976,2.497216796875,2.72337021827698,2.36014666557312,2.57956042289734,2.08644685745239,1.99274723529816
"US-NC2",1.75113554000854,1.37076919078827,1.58556795120239,0.938827562332153,1.02293004989624,0.996483469009399,1.71157608032227,1.46996297836304,1.82168464660645,1.3168496131897,2.40739936828613,1.61318681240082
"US-Bar",3.09890098571777,2.94234437942505,2.84080595970154,2.21413927078247,1.75509159564972,2.01904737949371,2.23216152191162,2.38263726234436,1.77230763435364,1.6513552904129,2.36146521568298,2.69655656814575
"CA-Oas",1.01663008928299,4.26351690292358,3.80139198303223,3.03406591415405,3.20542116165161,2.75164842605591,2.67948703765869,3.22769246101379,2.5931134223938,3.18395609855652,2.93677654266357,3.03062243461609
"CA-TP4",3.50695953369141,3.27699637413025,2.66446890830994,2.05457873344421,1.68717956542969,1.79245409965515,2.21164817810059,2.44271054267883,2.14783892631531,1.90051283836365,2.25560436248779,2.9014651298523
"CA-TP3",3.54820513725281,3.25069603919983,2.70952386856079,2.01084244251251,1.68945052623749,1.75084252357483,2.24234428405762,2.46219754219055,2.13736243247986,1.86139199733734,2.28029308319092,2.88036637306213
"CA-Man",2.04996404647827,4.7660813331604,3.17457828521729,3.75450530052185,3.35010991096497,3.2043957233429,2.81538486480713,2.91890120506287,2.30402936935425,2.95465197563171,4.25333309173584,3.80732560157776
"CA-LP1",0.919706845283508,2.50967030525208,3.24600739479065,2.44564094543457,2.58402924537659,2.28168482780457,2.23194179534912,2.70000014305115,2.59333329200745,2.58388276100159,3.01655683517456,2.86271071434021
