site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,warm_rate,warm_ratep,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
US-Whs,31.7438,-110.0522,1370,OSH,Bsk,320,15.99640701,-28.93657591,44.93298292,17.14865772,7.390926258,0.442867116,15.07800401,-0.019017264,0.360180119,0.116940294,0.197097685,0.253273051,0.264389196,7,-0.120116669,0.027606622,0.061565833,0.164850392,0.490842497,0.680659306,0.055384748,0.207252781,0.93450563,0.698461223,1.016483688,1.203003955,1.456410384,1.717948937,0.877142906,0.706446886,1.289876894,1.079685321,1.808322724,0.779106644,0.78211489,0.629415711
US-ICt,68.6063,-149.3041,930,OSH,ET,318,-2.78557041,-70.93230722,68.14673681,-5.46855087,11.9086137,0.850603751,6.804573507,0.064670836,0.13092669,0.100842194,0.17364223,0.738432516,0.546040891,128,-0.032629237,0.489135359,0.003895279,0.9036386,4.072307873,1.452893662,3.267912197,1.668864799,1.471941328,1.993333364,2.137362766,2.3210989,2.104468918,1.310476232,3.455091095,2.994066143,0.417234747,0.98223378,0.941535574,1.192761758,1.254503492,1.216549147
US-ICh,68.6068,-149.2958,940,OSH,ET,318,9.131260073,-51.19513558,60.32639565,-6.722277403,12.73572221,1.186930185,7.387243734,0.039535959,0.540479168,0.099543512,0.172997456,0.690528112,0.538789719,128,-0.005913294,0.668823074,-0.007104441,0.607430206,4.072307873,1.452893662,3.267912197,1.668864799,1.471941328,1.993333364,2.137362766,2.3210989,2.104468918,1.310476232,3.455091095,2.994066143,0.446912909,1.052100668,1.006463496,1.834908575,1.916672834,1.905299605
US-ICs,68.6058,-149.311,920,WET,ET,318,82.01257147,-26.7417806,108.7543521,-6.53046965,12.9340777,1.30793692,8.273893886,0.089465726,0.342146356,0.100842194,0.17364223,0.763480374,0.581711018,128,0.027916905,0.254928787,0.011541103,0.67013513,4.072307873,1.452893662,3.267912197,1.668864799,1.471941328,1.993333364,2.137362766,2.3210989,2.104468918,1.310476232,3.455091095,2.994066143,0.389838944,0.917739911,0.875652763,1.947545568,2.177509202,2.231395491
US-SRG,31.7894,-110.8277,1291,GRA,Bsk,420,-36.87851754,-225.9695243,189.0910068,18.99026639,7.188866436,0.535970303,11.79684868,0.046576511,0.078054947,0.171173771,0.283310399,0.428213065,0.416332845,25,-0.093268698,7.08E-09,-0.003155288,0.713381478,0.686959743,0.926886439,0.263370046,0.501025695,1.107472396,0.951354992,1.24871788,1.573479486,1.756849694,1.975238132,1.049304104,0.850402951,1.035602534,1.112501334,1.16927698,1.091742068,1.045855638,0.937797162
US-IB2,41.8406,-88.241,226.5,GRA,Dfa,930.25,-205.2316686,-634.7214827,429.4898142,9.059868555,10.91359116,0.988658346,10.13887014,-0.104625501,0.112917962,0.310126467,0.48691283,1.234162812,1.096204598,95.87462709,0.01100524,0.29083039,0.024344915,0.051911339,2.379633474,3.428351688,2.56249094,1.539780211,1.416190577,1.539707184,2.327545166,2.428571177,2.002637172,2.045348001,1.767912102,2.35963378,0.768240087,1.651575438,1.494800985,5.504671242,5.976731252,6.075865503
US-Kon,39.0824,-96.5603,417,GRA,Cfa,867,-167.4031012,-685.6566554,518.2535542,12.97245411,10.78846039,1.113310635,11.96747164,0.044313688,0.572217429,0.291339014,0.464675109,1.120332142,0.895653983,55,-0.059086873,0.000178457,-0.015136667,0.179031888,1.55750916,2.863150311,1.887545776,1.774945116,1.971502018,1.955384231,2.60029335,3.239632893,2.71934042,3.228351641,2.13904767,2.174871874,0.860363715,2.015514887,2.104151984,7.797603259,9.330723787,8.239872142
US-MOz,38.7441,-92.2,219.4,DBF,Cfa,986,-351.7837805,-764.1619677,412.3781872,13.60136774,10.36737614,1.020989786,9.676229457,0.043052478,0.415629782,0.374392751,0.650998563,2.501680664,1.501456763,45,-0.007498319,0.667686972,0.05991933,5.15E-06,1.525934076,2.577655697,1.913992691,1.281098986,1.387985468,1.670842099,2.497216797,2.723370218,2.360146666,2.579560423,2.086446857,1.992747235,0.689836966,1.413993161,1.510147063,4.856733743,5.071159765,5.014060057
US-NC2,35.803,-76.6685,5,ENF,Cfa,1320,-384.9087588,-1172.155002,787.2462435,16.09107111,7.991469304,0.432484858,10.28083082,0.050366563,0.007244775,0.408015095,0.736809985,4.327428587,1.770790858,134,0.003605498,0.727384348,0.029071135,0.031834892,1.75113554,1.370769191,1.585567951,0.938827562,1.02293005,0.996483469,1.71157608,1.469962978,1.821684647,1.316849613,2.407399368,1.613186812,0.684036477,1.026418011,1.045792561,4.411862403,4.710582676,4.728377941
US-Bar,44.0646,-71.2881,272,DBF,Dfb,1245.77,-183.1758899,-592.0074554,408.8315655,7.52986439,10.14496199,0.58312373,9.803626716,0.035640746,0.128628841,0.387836521,0.655113031,2.262319668,1.272860499,69.14467397,-0.000632532,0.97092842,0.009598403,0.61582044,3.098900986,2.942344379,2.84080596,2.214139271,1.755091596,2.019047379,2.232161522,2.382637262,1.772307634,1.65135529,2.361465216,2.696556568,0.61244461,1.42734366,1.26963239,5.227525033,5.986476337,5.981670629
