"var","x","y025","y050","y","y950","y975","x_norm"
"elev",2108.32,-0.0416746764149329,-0.0402499116395498,-0.0288727591051435,-0.0182708548787357,-0.0160894271073967,0.53813823519705
"elev",2172.36,-0.0416746764149329,-0.0403488341786415,-0.0288727591051435,-0.0183673986582779,-0.0162354473620166,0.605405514596681
"elev",2236.4,-0.0416746764149329,-0.0403488341786415,-0.0288727591051435,-0.0183673986582779,-0.0162342631641069,0.672672793996312
"elev",2300.44,-0.0416746764149329,-0.0403488341786415,-0.0289016354610422,-0.0183673986582779,-0.0162342631641069,0.739940073395943
"elev",2364.48,-0.0416746764149329,-0.0403488341786415,-0.0292926700004629,-0.0184873456725946,-0.0165977558377269,0.807207352795575
"elev",2428.52,-0.0416746764149329,-0.0403488341786415,-0.0293353148476567,-0.0188268199921478,-0.0168993052817036,0.874474632195206
"elev",2492.56,-0.0416746764149329,-0.0403488341786415,-0.0293353148476567,-0.0188268199921478,-0.0168993052817036,0.941741911594838
"elev",2556.6,-0.0416746764149329,-0.0403488341786415,-0.0293353148476567,-0.0188289044937348,-0.0168993052817036,1.00900919099447
"elev",2620.64,-0.0416746764149329,-0.0403488341786415,-0.0293639540831725,-0.018895320617536,-0.0170482696404052,1.0762764703941
"elev",2684.68,-0.0416746764149329,-0.0403488341786415,-0.0293132541226224,-0.018895320617536,-0.0170482696404052,1.14354374979373
"elev",2748.72,-0.0416746764149329,-0.0403488341786415,-0.0293132541226224,-0.018895320617536,-0.0170482696404052,1.21081102919336
"elev",2812.76,-0.0416746764149329,-0.0403488341786415,-0.0293132541226224,-0.018895320617536,-0.0170482696404052,1.27807830859299
"elev",2876.8,-0.0416746764149329,-0.0403488341786415,-0.0293132541226224,-0.018895320617536,-0.0170482696404052,1.34534558799262
"elev",2940.84,-0.0416746764149329,-0.0403488341786415,-0.0293032793478821,-0.018895320617536,-0.0170097507222241,1.41261286739226
"elev",3004.88,-0.0416746764149329,-0.0403488341786415,-0.0293032793478821,-0.018895320617536,-0.0170097507222241,1.47988014679189
"elev",3068.92,-0.0416746764149329,-0.0403488341786415,-0.0293032793478821,-0.018895320617536,-0.0170097507222241,1.54714742619152
