site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MAT,SST,IAT,DRT,EVI,NDVI,LAI,GPP,SOC,nyear,TRS,TRS_p,SWC_use,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
US-ICt,68.6063,-149.3041,930,OSH,ET,318,-2.683328755,-59.82856871,57.14523995,-5.477109569,11.79047789,0.888020401,6.775430009,0.312571204,0.530333508,0.446757683,0.291911265,128,11,-0.330957681,0.021145669,NO,4.072307873,1.452893662,3.267912197,1.668864799,1.471941328,1.993333364,2.137362719,2.3210989,2.104468918,1.310476232,3.455091238,2.994066143,0.430038395,1.012375511,0.963978452,0.77977862,0.972135891,0.706596321
US-ICh,68.6068,-149.2958,940,OSH,ET,318,14.82423916,-43.06028159,57.88452075,-6.61624533,12.63194625,1.234770613,7.410667804,0.302821244,0.518109845,0.422070537,0.283587571,128,11,-0.157539707,0.008732491,NO,4.072307873,1.452893662,3.267912197,1.668864799,1.471941328,1.993333364,2.137362719,2.3210989,2.104468918,1.310476232,3.455091238,2.994066143,0.43952134,1.034699799,0.982568573,1.153642612,1.31389817,1.125474647
US-ICs,68.6058,-149.311,920,WET,ET,318,81.02792002,-22.66316454,103.6910846,-6.541218561,12.79600992,1.117733952,8.30155097,0.312571204,0.530333508,0.456655293,0.296282896,128,10,-0.077093665,0.338960606,NO,4.072307873,1.452893662,3.267912197,1.668864799,1.471941328,1.993333364,2.137362719,2.3210989,2.104468918,1.310476232,3.455091238,2.994066143,0.387037068,0.911143874,0.867874435,1.360581874,1.604017138,1.500207711
US-SRG,31.7894,-110.8277,1291,GRA,Bsk,420,-41.93787059,-229.9079057,187.9700351,18.9440829,7.147606884,0.522614019,11.76401733,0.170891803,0.282312022,0.430438758,0.410712256,25,16,-0.073002361,0.160685595,YES,0.686959743,0.926886439,0.263370046,0.501025695,1.107472396,0.951354992,1.248717833,1.573479486,1.756849694,1.975238132,1.049304056,0.850402951,1.025509447,1.101658776,1.1587888,1.689567115,1.804198326,1.657850749
US-IB2,41.8406,-88.241,226.5,GRA,Dfa,930.25,-215.1902247,-646.9615609,431.7713362,9.223713815,10.87413983,0.854793119,10.08162265,0.316391682,0.492161368,1.241499099,1.108806244,98.88151067,12,-0.042105639,0.013173963,NO,2.379633474,3.428351688,2.56249094,1.539780211,1.416190577,1.539707184,2.327545643,2.428571177,2.002637172,2.045348001,1.767912102,2.35963378,0.773776501,1.663477744,1.506747768,5.095384107,5.604780236,5.260243243
US-Kon,39.0824,-96.5603,417,GRA,Cfa,867,-163.0045133,-678.2595531,515.2550399,13.14715999,10.79727627,1.048358726,11.96305799,0.295653832,0.469030839,1.138025609,0.907693169,55,11,-0.070916122,0.017773209,NO,1.55750916,2.863150311,1.887545776,1.774945116,1.971502018,1.955384231,2.600293064,3.239632893,2.71934042,3.228351641,2.13904767,2.174871874,0.858325069,2.01073907,2.099894566,6.625070646,7.336704743,6.321606807
US-MOz,38.7441,-92.2,219.4,DBF,Cfa,986,-364.6826506,-784.6655951,419.9829445,13.53309483,10.43983222,1.073030186,9.664558529,0.37915337,0.653207285,2.527330935,1.512128684,45,14,-0.032528061,0.554951599,YES,1.525934076,2.577655697,1.913992691,1.281098986,1.387985468,1.670842099,2.497216463,2.723370218,2.360146666,2.579560423,2.086446857,1.992747235,0.693191459,1.420869012,1.518388772,4.387978024,4.496035248,4.279369603
US-NC2,35.803,-76.6685,5,ENF,Cfa,1320,-531.9003252,-1343.799462,811.8991368,15.99332423,8.014473303,0.459475052,10.13608993,0.410731876,0.736830782,4.284643559,1.74012571,134,11,-0.085010549,0.47140866,NO,1.75113554,1.370769191,1.585567951,0.938827562,1.02293005,0.996483469,1.711575699,1.469962978,1.821684647,1.316849613,2.407399607,1.613186812,0.684034707,1.026415347,1.046183797,4.348290768,4.739659937,4.336331573
US-Bar,44.0646,-71.2881,272,DBF,Dfb,1245.77,-215.1216784,-609.3136051,394.1919267,7.411330361,10.17443587,0.595564093,9.882681381,0.392827687,0.650909652,2.282541168,1.281952609,69.83918195,12,-0.226509783,0.003673387,YES,3.098900986,2.942344379,2.84080596,2.214139271,1.755091596,2.019047379,2.232161283,2.382637262,1.772307634,1.65135529,2.361465216,2.696556568,0.613525308,1.429862288,1.272052112,4.20312987,4.414684675,3.309523305
CA-Oas,53.6289,-106.1978,530,DBF,Dfc,428.53,-129.5741244,-467.1110554,337.536931,1.91686947,12.81411863,0.936864253,8.176467625,0.262314469,0.453749083,1.680347375,0.919973438,87.87283153,14,-0.018529912,0.589929317,YES,1.016630089,4.263516903,3.801391983,3.034065914,3.205421162,2.751648426,2.679487228,3.227692461,2.593113422,3.183956099,2.936776352,3.030622435,0.547461396,1.629807288,1.58270905,5.435961113,6.191687016,6.012737461
CA-TP4,42.7102,-80.3574,184,ENF,Dfb,1036,-167.4882297,-725.6012988,558.1130692,9.30552856,10.23628024,0.798726291,7.571919737,0.366053467,0.650123722,2.512979926,1.421344028,89.60770803,14,-0.027580299,0.39651934,YES,3.506959534,3.276996374,2.664468908,2.054578733,1.687179565,1.7924541,2.211648512,2.442710543,2.147838926,1.900512838,2.255604362,2.90146513,0.821712854,1.975015435,1.695689,5.566916487,6.259943869,5.973921675
CA-TP3,42.7068,-80.3483,184,ENF,Dfb,1036,-503.708318,-964.2781577,460.5698396,9.055563984,10.23685783,0.876344188,7.812248344,0.340102007,0.610566058,2.23446073,1.450330333,89.37391468,10,-0.02308294,0.416257604,YES,3.548205137,3.250696039,2.709523869,2.010842443,1.689450526,1.750842524,2.242344427,2.462197542,2.137362432,1.861391997,2.280293036,2.880366373,0.830503895,1.994836882,1.688704385,4.385337829,5.019035237,4.827155976
CA-Man,55.8796,-98.4808,259,ENF,Dfc,520,0.58618865,-229.6753193,230.2615079,-1.181531772,14.64952035,1.40322214,9.824147741,0.189097814,0.445356831,0.992595988,0.702415992,187.351898,12,-0.055790268,0.488063075,NO,2.049964046,4.766081333,3.174578285,3.754505301,3.350109911,3.204395723,2.815384626,2.918901205,2.304029369,2.954651976,4.253333187,3.807325602,0.723244463,2.371835651,2.298560923,2.900845682,3.703538562,3.257797654
CA-LP1,55.1119,-122.8414,751,ENF,Dfb,570,-175.8770067,-300.7352603,124.8582535,2.886093156,10.3319541,0.61019,9.123298658,0.19590457,0.421291408,0.812797082,0.703043089,70.65000153,10,-0.018045016,0.905830187,YES,0.919706845,2.509670305,3.246007395,2.445640945,2.584029245,2.281684828,2.231941557,2.700000143,2.593333292,2.583882761,3.016556883,2.862710714,0.821972356,2.053229743,2.166159627,1.306497658,1.639981381,1.577113857
CA-Ca1,49.8673,-125.3336,300,ENF,Cfb,1369,-373.7580182,-1083.818877,710.0608591,8.065497168,6.161820245,0.450077744,5.357694171,0.364140255,0.74399927,2.501828196,1.3166279,119.4553249,12,-0.019808286,0.638487585,YES,1.171501827,2.294432211,1.968498158,2.122710609,2.012014699,2.065494442,1.967619038,2.287838793,1.87648344,1.942710686,2.179413939,1.869597077,0.614607851,1.21683724,1.268271216,5.984475486,7.450874388,7.266023108
CA-Gro,48.2167,-82.1556,340,MF,Dfb,831,-118.1875763,-447.8413266,329.6537504,3.747624006,12.3953469,0.981259806,9.202684815,0.295093625,0.557405282,1.848811726,1.030441712,79.39664123,8,0.065791457,0.659548955,YES,3.340146923,3.865494823,3.21010952,2.683662939,2.2080585,2.036336875,2.288645267,2.520879412,2.059780264,2.652234364,2.642637157,4.013553524,0.725239304,2.025928168,1.648792361,4.362692746,5.058155101,5.637711744
CA-Obs,53.9872,-105.1178,628.94,ENF,Dfc,405.6,-54.98450569,-316.5949258,261.6104201,1.211340753,12.99609806,1.106668749,8.733588777,0.209253102,0.479189416,1.175868382,0.791648697,119.9366052,11,-0.093125181,0.044201854,YES,1.020366442,4.349231052,3.527618933,3.242270994,3.242417574,2.674432468,2.584175682,3.171281958,2.503516436,3.141611767,3.159706926,3.048644829,0.40167216,1.193812339,1.160148086,2.729183662,3.163828532,2.839829044
CA-Ojp,53.9163,-104.692,579,ENF,Dfc,430.5,-38.11573117,-234.6029708,196.4872397,1.443179156,13.13012679,0.984442341,9.265129909,0.221184153,0.488610747,1.134186483,0.752606287,67.77522834,11,-0.026605268,0.465321783,YES,1.102564669,4.277729511,3.513992405,3.160586119,3.269377279,2.678754568,2.654798222,3.058827829,2.420512819,3.145274687,3.141025543,3.068497896,0.641195294,1.896438824,1.823616188,2.751749074,3.541990498,3.374243191
