"site_ID","LAT","LONG","ELEV","IGBP","Climate_class","MAP","NEE","NEE_day","NEE_night","MATA","SSTA","IATA","DRTA","warm_rate","warm_ratep","EVI","NDVI","LAI","GPP","SOC","TAS_tot","TAS_totp","TAS","TASp","Tmin1","Tmin2","Tmin3","Tmin4","Tmin5","Tmin6","Tmin7","Tmin8","Tmin9","Tmin10","Tmin11","Tmin12","TS_TA","TSmin_c","TSmin_c_gs","NEE_night_mod_p","NEE_night_mod_f","NEE_night_mod_fa"
"CA-Oas",53.6289,-106.1978,530,"DBF","Dfc",428.53,-129.574124354087,-466.249992477698,336.675868123611,1.9188985627874,12.8136266491799,0.937533834331656,8.17684663139846,-0.0841102256296795,0.186070965512067,0.254007802691961,0.44585919701684,1.74565207143055,0.910214576994226,85.7424686042127,-0.013845264,0.379780391,-0.006701463,0.622721011,1.01663008928299,4.26351690292358,3.80139198303223,3.03406591415405,3.20542116165161,2.75164842605591,2.67948722839355,3.22769246101379,2.5931134223938,3.18395609855652,2.93677635192871,3.03062243461609,0,0,0,0,0,0
"CA-TP4",42.7102,-80.3574,184,"ENF","Dfb",1036,-192.620774766243,-735.68104254006,543.060267773817,9.34218745775812,10.1754412319105,0.784144302268558,7.4687748261825,0.0611844316403623,0.0345020370026691,0.366995349588922,0.658590351307381,2.40391076450772,1.4573320487945,87.3392127180004,0.015735102,0.077755699,0.040992172,1.55e-05,3.50695953369141,3.27699637413025,2.66446890830994,2.05457873344421,1.68717956542969,1.79245409965515,2.2116485118866,2.44271054267883,2.14783892631531,1.90051283836365,2.25560436248779,2.9014651298523,0,0,0,0,0,0
"CA-TP3",42.7068,-80.3483,184,"ENF","Dfb",1036,-547.841828058759,-996.098453497057,448.256625438298,9.19332656016215,10.1200527604757,0.783601790326769,7.75400058668231,0.057376712988934,0.185742282964121,0.340775011955561,0.619047329495565,2.20527476095026,1.47551587292668,87.1240342045005,0.008687055,0.294981574,0.029422587,0.000515553,3.54820513725281,3.25069603919983,2.70952386856079,2.01084244251251,1.68945052623749,1.75084252357483,2.24234442710876,2.46219754219055,2.13736243247986,1.86139199733734,2.2802930355072,2.88036637306213,0,0,0,0,0,0
"CA-Man",55.8796,-98.4808,259,"ENF","Dfc",520,-2.64712046777689,-226.327929737404,223.680809269627,-1.18050736032259,14.667151708872,1.29438905540596,9.76886613807042,0.149272494637925,0.0706156030944507,0.189257876734803,0.453116642485438,1.00883598846677,0.723940764386019,177.300924902971,0.042804153,0.004818486,0.035106355,0.009478282,2.04996404647827,4.7660813331604,3.17457828521729,3.75450530052185,3.35010991096497,3.2043957233429,2.81538462638855,2.91890120506287,2.30402936935425,2.95465197563171,4.25333318710327,3.80732560157776,0,0,0,0,0,0
"CA-LP1",55.1119,-122.8414,751,"ENF","Dfb",570,-181.721007541168,-316.645621109032,134.924613567865,3.1681494512506,10.0231777303835,0.738260628995649,9.02026357500684,0.0305843431635844,0.459419491132493,0.198464359316541,0.43322947710749,0.881869438090437,0.752706147985198,70.6500015258789,-0.045368641,0.002676387,0.013571657,0.469532767,0.919706845283508,2.50967030525208,3.24600739479065,2.44564094543457,2.58402924537659,2.28168482780457,2.23194155693054,2.70000014305115,2.59333329200745,2.58388276100159,3.01655688285828,2.86271071434021,0,0,0,0,0,0
"CA-Ca1",49.8673,-125.3336,300,"ENF","Cfb",1369,-373.758018249995,-1082.56207214869,708.804053898699,8.06550019586459,6.16181589678569,0.450077379849812,5.357712276357,-0.0453402876655515,0.244213895762878,0.367616226634762,0.761267813468333,2.14091943762517,1.3692235689597,114.810336274817,0.022729621,0.042014916,0.034369524,0.00497769,1.17150182723999,2.29443221092224,1.9684981584549,2.12271060943604,2.01201469898224,2.06549444198608,1.96761903762817,2.2878387928009,1.87648344039917,1.94271068572998,2.17941393852234,1.86959707736969,0,0,0,0,0,0
"CA-Gro",48.2167,-82.1556,340,"MF","Dfb",831,-116.870301576963,-454.934240523939,338.063938946977,3.42169719193176,12.4036970955278,1.10859648455753,9.15238296801064,0.176792347781285,0.157503103167794,0.291918607237608,0.565476151439302,1.71791804196498,1.01925964199426,77.9411599844663,0.008618474,0.457683159,0.037398253,0.000717343,3.34014692306519,3.86549482345581,3.2101095199585,2.68366293907166,2.20805850028992,2.03633687496185,2.28864526748657,2.52087941169739,2.05978026390076,2.65223436355591,2.64263715744019,4.01355352401733,0,0,0,0,0,0
"CA-Obs",53.9872,-105.1178,628.94,"ENF","Dfc",405.6,-55.931001552334,-315.986788881472,260.055787329138,1.20871494650303,12.997621142655,1.09879782762797,8.73529196369973,-0.101777051884679,0.334083919299801,0.210746176932607,0.489060243853913,1.03037774809184,0.802898119323937,115.25329661475,-0.031577982,0.012372754,-0.035934713,0.000505961,1.02036644220352,4.34923105239868,3.527618932724,3.2422709941864,3.24241757392883,2.67443246841431,2.58417568206787,3.17128195762634,2.50351643562317,3.14161176681519,3.15970692634583,3.04864482879639,0,0,0,0,0,0
"CA-Ojp",53.9163,-104.692,579,"ENF","Dfc",430.5,-38.1157311708607,-233.946195717868,195.830464547007,1.42220585534305,13.139870853113,0.967887007345719,9.27141364692218,-0.0950547184725185,0.328330402527272,0.220409052512204,0.493162320325157,1.12661351111094,0.771493624817575,67.2450541394996,-0.016802897,0.100125426,0.012376831,0.354033819,1.1025646686554,4.27772951126099,3.51399240493774,3.16058611869812,3.26937727928162,2.67875456809998,2.65479822158813,3.05882782936096,2.42051281929016,3.14527468681335,3.14102554321289,3.06849789619446,0,0,0,0,0,0
"US-Jo2",32.5849,-106.6032,1469,"OSH","Bwk",282.3,-175.545974895622,-245.871046769782,70.3250718741589,17.6217501488475,8.21497858097333,0.441738431147,12.3111241575475,0.0252117533784768,0.633086361463318,0.112837485050218,0.17125427940032,0.214988909986962,0.215734894182655,9,-0.050444034,0.024242951,0.011037826,0.489042322,0.740219795703888,0.940366315841675,0.311941361427307,0.578754639625549,1.26857149600983,0.980659091472626,1.26300387382507,1.27838816642761,1.56769232749939,1.74087905883789,1.06109888553619,1.03025640249252,0,0,0,0,0,0
