site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MAT,SST,IAT,DRT,EVI,NDVI,LAI,GPP,SOC,nyear,TRS,TRS_p,SWC_use
US-Tw1,38.1074,-121.6469,-5,WET,Csa,421,-269.4963399,-804.593327,535.0969872,14.98563396,5.740588992,0.821253785,13.8781895,0.289704007,0.502984882,0.80457039,1.199211935,231,11,-0.049129443,0.383566962,NO
US-Ced,39.8379,-74.3791,58,CSH,Cfa,1138,-80.63069699,-715.3321751,634.7014781,12.03055022,9.123327547,0.710138449,9.755186839,0.346821676,0.695976503,2.359323618,1.572713445,28,9,-0.101151942,0.462614209,NO
US-Oho,41.5545,-83.8438,230,DBF,Dfa,849,-783.7337678,-1155.963362,372.2295946,10.50362975,10.21148895,0.838409997,8.987854462,0.347966849,0.583467758,2.266636233,1.528514405,82.90563217,10,-0.055997571,0.18565256,NO
US-Slt,39.9138,-74.596,30,DBF,Dfa,1138,8.654024974,-548.1964882,556.8505131,12.34162363,9.353904736,0.690736037,10.74805851,0.369865392,0.669517304,2.395795285,1.826786867,68.21561707,10,-0.097666743,0.512879908,NO
US-Wrc,45.8205,-121.9519,371,ENF,Csb,2452,-273.8253424,-478.6874388,204.8620964,9.251996846,7.199579357,0.85700916,8.877967461,0.346910786,0.738012248,2.309415026,1.418262682,104.0639298,9,-0.068712274,0.228598895,NO
AU-Tum,-35.6566,148.1517,1200,EBF,Cfb,1159.01,-592.4246117,-1615.866923,1023.442311,9.629790551,5.168112565,0.364033256,7.90279622,0.34468561,0.743610928,4.142596048,2.453599358,123.3451004,10,-0.014979218,0.856975338,YES
BE-Bra,51.3076,4.5198,16,MF,Cfb,750,-127.3054403,-717.9413978,590.6359575,11.06744889,5.989069363,0.658867855,6.476109134,0.355564299,0.676826958,2.083897559,1.31514362,79.58034515,14,-0.156562179,0.0840314,NO
BE-Vie,50.3049,5.9981,493,MF,Cfb,1062,-473.5766883,-1016.560357,542.9836689,8.621173025,6.503911235,0.688557917,6.428238307,0.336372344,0.661785714,2.153339467,1.277346381,129.024826,24,-0.002115344,0.973613991,YES
CH-Lae,47.4783,8.3644,689,MF,Cfb,1100,-281.3603971,-763.4822415,482.1218444,8.435283457,7.345802546,0.646902874,7.700939764,0.399858135,0.675382083,2.643183946,1.456677995,79.23197937,13,-0.111858057,0.040516435,YES
CZ-BK1,49.5021,18.5369,875,ENF,Dfb,1316,-831.1536211,-1243.682583,412.5289617,6.898828533,7.7457895,0.611665496,7.49569374,0.294044991,0.65640601,2.027447423,1.056874515,235.81073,15,0.05089334,0.342257553,YES
